text,label,rating,helpful_vote,verified_purchase,text_clean_for_split,text_hash,split
"I had purchased this previously. Despite people complaining about the pumice/lava rock, I rather liked the soap bar and the smell. So much so, that when I ran out I came right back to my order history and ordered it again. Much to my dismay the product that came was different. Gone were the exfoliating bits, and the scent, and now there was an offensive patchouli and citrus smell. I quickly logged onto the Amazon page to verify I wasn't going crazy, and low and behold the description now said &#34;patchouli, orange and lavender&#34; instead of &#34;subtle notes of woods, leather, and musk&#34;. I logged onto the manufacturers website, and they still had pictures of the old bar, but their website was now updated to the new scent as well.<br /><br />I wouldn't mind if they changed their product, but I feel like going to a polar opposite (subtle wood, leather and musk to strong offensive patchouli, orange and lavender) experience is borderline bait and switch.",0,1,3,1,"i had purchased this previously. despite people complaining about the pumice/lava rock, i rather liked the soap bar and the smell. so much so, that when i ran out i came right back to my order history and ordered it again. much to my dismay the product that came was different. gone were the exfoliating bits, and the scent, and now there was an offensive patchouli and citrus smell. i quickly logged onto the amazon page to verify i wasn't going crazy, and low and behold the description now said &#34;patchouli, orange and lavender&#34; instead of &#34;subtle notes of woods, leather, and musk&#34;. i logged onto the manufacturers website, and they still had pictures of the old bar, but their website was now updated to the new scent as well.<br /><br />i wouldn't mind if they changed their product, but i feel like going to a polar opposite (subtle wood, leather and musk to strong offensive patchouli, orange and lavender) experience is borderline bait and switch.",d30b45a692dad9c1d71bce71ba60677b,calibration
This is my most favorite lipstick!  The pink color is so beautiful and matches so many of my outfits.  The best thing about this awesome lipstick is the tiny glitter flecks that shimmer and shine every time you press your lips together!  So pretty!!!,1,5,0,1,this is my most favorite lipstick! the pink color is so beautiful and matches so many of my outfits. the best thing about this awesome lipstick is the tiny glitter flecks that shimmer and shine every time you press your lips together! so pretty!!!,72705a6f9118dd5c7fd62ac5a7bc4d10,calibration
"I felt confident and looked amazing in this wig! I love color baby blue like I imagine it to be! I get a lot compliments all the time, when I wear it! Great value… Can’t wait to order a different color!",1,5,0,1,"i felt confident and looked amazing in this wig! i love color baby blue like i imagine it to be! i get a lot compliments all the time, when i wear it! great value… can’t wait to order a different color!",1cd423baa003bbbf17130122f7fa7382,calibration
This works awesome. Even did a test and hand washed a few of my more frequent use brushes and then used the brush spinner and so much more residue came off. Very pleased,0,5,0,1,this works awesome. even did a test and hand washed a few of my more frequent use brushes and then used the brush spinner and so much more residue came off. very pleased,3b1c97924915d546b9e78a3c9034cfe2,calibration
Good product!,1,1,0,0,good product!,f589c6ef55ce2f3e5e5bfd8871fb7796,calibration
Muy comodo lindo y facil de usar,1,5,0,1,muy comodo lindo y facil de usar,dc7699d19e4fda4c0021fb0a2bc9234a,calibration
The smell and lather of this shampoo is amazing. Def worth a try.,0,5,0,1,the smell and lather of this shampoo is amazing. def worth a try.,9e76879e3c342b91b5878640e7967988,calibration
This stuff is not good it isn't worth it and I would suggest never waisting your money on it.,0,1,0,1,this stuff is not good it isn't worth it and i would suggest never waisting your money on it.,ffb648aeb1a912cc9c26632b90d1fc38,calibration
"Excellent for the price, but I wish they separated a bit more to mesh in with my real hair. Love the color and the extra length, but it is hard to mesh in with your own hair (like I can do with pieces rather than a strip of hair). Great quality though and great price!",0,5,0,1,"excellent for the price, but i wish they separated a bit more to mesh in with my real hair. love the color and the extra length, but it is hard to mesh in with your own hair (like i can do with pieces rather than a strip of hair). great quality though and great price!",8dd5f90da3d82bc29fae58ecdad2e5b4,calibration
Product doesn't last as long as other ones I tried but it drys fast and the shades are nice.,1,4,0,1,product doesn't last as long as other ones i tried but it drys fast and the shades are nice.,a5a3cdede6cdc4664a468adb14491d06,calibration
"I've always wanted my own NARS, but they're so expensive! This product performs beautifully, the bottom two blushes are matte, the highlighter has a LOT of micro-sparkles in it, the top blush (next to the highlight) has a golden sheen, and the Laguna bronzer has a satin finish. Someone wrote on here that they think they got a fake, but I don't believe I did. Heck, if I did, then the products are NARS quality so I still won't complain.<br /><br />I've included some photos- the blushes should work on light to medium skin tones, but that highlighter will probably only work on light. Still, a single nars blush is just about as expensive as this whole palette. I also included a picture for sizing and one to look at the back of the palette. Hope this helps!",0,5,2,1,"i've always wanted my own nars, but they're so expensive! this product performs beautifully, the bottom two blushes are matte, the highlighter has a lot of micro-sparkles in it, the top blush (next to the highlight) has a golden sheen, and the laguna bronzer has a satin finish. someone wrote on here that they think they got a fake, but i don't believe i did. heck, if i did, then the products are nars quality so i still won't complain.<br /><br />i've included some photos- the blushes should work on light to medium skin tones, but that highlighter will probably only work on light. still, a single nars blush is just about as expensive as this whole palette. i also included a picture for sizing and one to look at the back of the palette. hope this helps!",7bd691fc4a54a6e9fb6ca8a301943f4f,calibration
Ideal para pelusas en traje y cabello de perro,0,5,0,1,ideal para pelusas en traje y cabello de perro,49504d6b5c423340a088c62a87e84746,calibration
Great eyeliner does not smear under my eyes when wearing it,0,4,0,1,great eyeliner does not smear under my eyes when wearing it,423fc2fadc0809dc04aa84554f04467b,calibration
Excellent!,1,5,0,1,excellent!,7bc94b4aac76b790456923f3fc61a360,calibration
I purchased this product based on the reviews but I wouldn't  recommend it for a couple reasons<br />First: I tried it for two weeks without any notable changes!<br />Second: I got Sensitivity in my teeth!!!,1,1,1,1,i purchased this product based on the reviews but i wouldn't recommend it for a couple reasons<br />first: i tried it for two weeks without any notable changes!<br />second: i got sensitivity in my teeth!!!,c912e9c28c587dfa2b02d27152c554f8,calibration
Hair was to frizzy,1,2,0,1,hair was to frizzy,6658f1ec635bcb57286e88696d1ebfc3,calibration
Really great moisturizer and gives a barrier from harsh weather and water.  It smells good too.,0,5,0,1,really great moisturizer and gives a barrier from harsh weather and water. it smells good too.,f6ce65839b1deacac415216d43562372,calibration
"(Ingredients list is at the bottom of this review.)<br /><br />I am really loving the TINAZANA Vegan Bakuchiol Comforting Cream (2.7oz / 80ml). Only 9 ingredients. It is so good. Truly comforting and non-irritating. Even when my skin is already in an irritated state.<br /><br />This is a beautifully thick, rich, white moisturizing cream. Yet, somehow it feels decently lightweight and comfortable on the face and neck. Not lightweight like a gel cream, by any means. But comfortable. This cream glides onto the face and neck smoothly, and it soaks into the skin quickly; But it doesn't disappear. It leaves a lasting, soothing, comforting layer of moisture and hydration on the surface of the skin. It helps to lock-in the moisture and hydration from the previous steps in my skincare routine, and leave my skin feeling so lovely and comfortable.<br /><br />The scent is extremely slight. It is herbal, but it's almost undetectable, unless you're really seeking after the scent.<br /><br />The packaging is a beautiful yellow glass jar with a beige twist-off lid. It feels very nice in the hand, and the cream feels luxurious on the face. Much more expensive than it is. The 80ml size is excellent for the price.<br /><br />The addition of gentle, anti-aging Bakuchiol is also a big win with zero irritation. Plus, Shea Butter for maximum moisture. I layer gentle, hydrating, soothing, calming toners and serums underneath this cream, and I get excellent glowy, dewy results.<br /><br />I use this cream day and night, as I have dry, sensitive skin. I imagine many skin types might like this for day or night, especially during colder months.<br /><br />If you have sensitive skin, and you cannot use most skincare products (like me), this is likely going to be for you.<br /><br />Overall, I'm highly impressed. Why did it take me so long to find this? This cream is so beautifully simple. It's truly an amazing find for someone like me, who struggles with sensitive skin. I will definitely repurchase, and I'm looking forward to trying more simple, gentle products from Tinazana.<br /><br />I highly recommend this cream to anyone and everyone.<br /><br />INGREDIENTS:<br /><br />Water, Butyrospermum Parkii (Shea) Butter, Butylene Glycol, 1,2-Hexanediol, Polysilicone-34, Isononyl Isononanoate, Caprylic/Capric Triglyceride, Ethyhexylglycerin, Bakuchiol.",1,5,1,0,"(ingredients list is at the bottom of this review.)<br /><br />i am really loving the tinazana vegan bakuchiol comforting cream (2.7oz / 80ml). only 9 ingredients. it is so good. truly comforting and non-irritating. even when my skin is already in an irritated state.<br /><br />this is a beautifully thick, rich, white moisturizing cream. yet, somehow it feels decently lightweight and comfortable on the face and neck. not lightweight like a gel cream, by any means. but comfortable. this cream glides onto the face and neck smoothly, and it soaks into the skin quickly; but it doesn't disappear. it leaves a lasting, soothing, comforting layer of moisture and hydration on the surface of the skin. it helps to lock-in the moisture and hydration from the previous steps in my skincare routine, and leave my skin feeling so lovely and comfortable.<br /><br />the scent is extremely slight. it is herbal, but it's almost undetectable, unless you're really seeking after the scent.<br /><br />the packaging is a beautiful yellow glass jar with a beige twist-off lid. it feels very nice in the hand, and the cream feels luxurious on the face. much more expensive than it is. the 80ml size is excellent for the price.<br /><br />the addition of gentle, anti-aging bakuchiol is also a big win with zero irritation. plus, shea butter for maximum moisture. i layer gentle, hydrating, soothing, calming toners and serums underneath this cream, and i get excellent glowy, dewy results.<br /><br />i use this cream day and night, as i have dry, sensitive skin. i imagine many skin types might like this for day or night, especially during colder months.<br /><br />if you have sensitive skin, and you cannot use most skincare products (like me), this is likely going to be for you.<br /><br />overall, i'm highly impressed. why did it take me so long to find this? this cream is so beautifully simple. it's truly an amazing find for someone like me, who struggles with sensitive skin. i will definitely repurchase, and i'm looking forward to trying more simple, gentle products from tinazana.<br /><br />i highly recommend this cream to anyone and everyone.<br /><br />ingredients:<br /><br />water, butyrospermum parkii (shea) butter, butylene glycol, 1,2-hexanediol, polysilicone-34, isononyl isononanoate, caprylic/capric triglyceride, ethyhexylglycerin, bakuchiol.",59503c7528ee090518b2d58cc781ddf2,calibration
this product made a huge difference on how my stretching went and healing. anyone who is stretching should buy it. i will for sure be buying it again when i run out,0,5,1,1,this product made a huge difference on how my stretching went and healing. anyone who is stretching should buy it. i will for sure be buying it again when i run out,9c0e7a6325bb165945feec5863f6310e,calibration
Good,1,5,0,1,good,755f85c2723bb39381c7379a604160d8,calibration
Great looking lashes<br />Very light<br />Great size<br />Buy you wont regret,0,5,0,1,great looking lashes<br />very light<br />great size<br />buy you wont regret,1efbd830c23d7537fc0c16f2937fa415,calibration
"The product worked and sprayed well with liquid inside. However, the clips all broke almost immediately.",0,3,0,1,"the product worked and sprayed well with liquid inside. however, the clips all broke almost immediately.",67fcc38934dda21c304ade98c2c6f99e,calibration
"Not enough angle brushes, coming apart already",1,2,0,1,"not enough angle brushes, coming apart already",64a78c5a3fbab4d75c408923a6eb75ba,calibration
kept my hair dry and having 3 I shared with my granddaughter she is so happy her hair does not get wet every time she gets in the shower.,0,5,0,1,kept my hair dry and having 3 i shared with my granddaughter she is so happy her hair does not get wet every time she gets in the shower.,84d0c53bb06065af02627cd766da5f5b,calibration
Nice. My husband thinks I look too old-fashioned wearing these sooo they may go to my sister. But they do hold my abundant but very fine wavy/loose curly hair.,0,5,2,1,nice. my husband thinks i look too old-fashioned wearing these sooo they may go to my sister. but they do hold my abundant but very fine wavy/loose curly hair.,d105948ffb161f12927c2f9e10eade43,calibration
This is a super fun product to use. I bought it for my nephew and he absolutely loved it. He likes to pretend he’s running a beauty salon and we have great fun together using this,0,5,20,1,this is a super fun product to use. i bought it for my nephew and he absolutely loved it. he likes to pretend he’s running a beauty salon and we have great fun together using this,2e798d852bc29753c68238fde96e18de,calibration
Love them great glue,1,5,0,1,love them great glue,22446dec308633bf5576b24b88838f21,calibration
Did not work as expected.,1,2,0,1,did not work as expected.,50aaacb3846dea462539f4f3986134df,calibration
Nice thin serum. Has a gel-like feel to it. A lot goes a long way. It doesn't really have a scent. I haven't used it long enough to know its benefits yet. No adverse reactions with my fair skin.  Can't wait to see its long term effects and write another review!,1,4,0,1,nice thin serum. has a gel-like feel to it. a lot goes a long way. it doesn't really have a scent. i haven't used it long enough to know its benefits yet. no adverse reactions with my fair skin. can't wait to see its long term effects and write another review!,848889206a78d40f223126bf9e945206,calibration
"Even more beautiful in person--wow, really stunning for a great price! I would recommend this product for babies, as the band is pretty thin. Perfect for newborns and small babies :)",0,5,0,1,"even more beautiful in person--wow, really stunning for a great price! i would recommend this product for babies, as the band is pretty thin. perfect for newborns and small babies :)",fb6edbdb124c94f6d85f5d78864d82df,calibration
Love these also use them to touch up paint.,0,5,2,1,love these also use them to touch up paint.,e1ce7d18fa1203aec4ca2b3cec2be359,calibration
"Bought all three products, shampoo, conditioner and deep conditioner.  I am hooked!  My hair has never felt so full and have so much body.  Expensive, but excellent product.  My hair sheds less too!  I would  buy again and seller was very prompt!",0,5,1,1,"bought all three products, shampoo, conditioner and deep conditioner. i am hooked! my hair has never felt so full and have so much body. expensive, but excellent product. my hair sheds less too! i would buy again and seller was very prompt!",cc39f1d23e9945c7e3eea7d17077fae1,calibration
I used small wood screws to improve its attachment to wood trim at a door casing. Our cats like the product.,0,3,0,1,i used small wood screws to improve its attachment to wood trim at a door casing. our cats like the product.,b6cb42ea10d9f9642442cf41a14c765d,calibration
It's very thin. I bought hoping to add length to my hair however that's not the case with this. I guess if all you're looking for is to make your hair a tad bit thicker this would work. I'm disappointed and will be returning this. The color is ok and it does feel soft. It could be human hair. It doesn't feel or look synthetic. The last photo is all the hair together. The clips seem ok. It doesn't shed. I just don't think this is worth it. I've paid a little more and got enough hair to take my hair from shoulder length to half way down my back. I'll be looking for those extensions to replace these. You get 7 wefts in this set.,0,2,3,1,it's very thin. i bought hoping to add length to my hair however that's not the case with this. i guess if all you're looking for is to make your hair a tad bit thicker this would work. i'm disappointed and will be returning this. the color is ok and it does feel soft. it could be human hair. it doesn't feel or look synthetic. the last photo is all the hair together. the clips seem ok. it doesn't shed. i just don't think this is worth it. i've paid a little more and got enough hair to take my hair from shoulder length to half way down my back. i'll be looking for those extensions to replace these. you get 7 wefts in this set.,44ebf6e725950fb78108fb20d4d8c29f,calibration
Will buy again,1,5,0,1,will buy again,8badd7991b63bfa159ac28deb78e5486,calibration
I love this scented oil. I’ve been wearing this scent for over a decade. I first bought this at “Body Time” which is now closed. And now you guys discontinued the product. It’s really sad because now I don’t know where to buy it. Other oil I bought from you doesn’t compare to the scent. Hoping you will bring it back.,0,5,7,1,i love this scented oil. i’ve been wearing this scent for over a decade. i first bought this at “body time” which is now closed. and now you guys discontinued the product. it’s really sad because now i don’t know where to buy it. other oil i bought from you doesn’t compare to the scent. hoping you will bring it back.,63451dab0e9acef0d7059363b00639ee,calibration
"I loved using Carol's Daughter almond milk leave in conditioner on my hair. I only used it a few times. However I will continue to buy this product. It leaves my hair feeling  lightweight, easy to style, soft and moisten.",0,4,0,1,"i loved using carol's daughter almond milk leave in conditioner on my hair. i only used it a few times. however i will continue to buy this product. it leaves my hair feeling lightweight, easy to style, soft and moisten.",91c84ce0a4ed8537b0d815fa49ed28aa,calibration
"Nice shaver that tells you how much charge is left. Easy to use, but disappointed in the lack of a close shave. I may have a bad unit, but wouldn't buy again as I have to re-shave over the same spots to get close enough.<br /><br />After using this shaver for several months, it is quite under-powered. The battery does not last very long, but unfortunately it is under-powered in most cases. Again, I could just have a bad unit.<br /><br />Update - It is now the end of April, having bot this item in December, the battery has totally failed. I am having trouble getting the vendor to respond, but I am hoping to get the shaver replaced. I did buy an additional shaver head, but need the main part of the shaver replaced, as it has stopped working.",0,1,0,1,"nice shaver that tells you how much charge is left. easy to use, but disappointed in the lack of a close shave. i may have a bad unit, but wouldn't buy again as i have to re-shave over the same spots to get close enough.<br /><br />after using this shaver for several months, it is quite under-powered. the battery does not last very long, but unfortunately it is under-powered in most cases. again, i could just have a bad unit.<br /><br />update - it is now the end of april, having bot this item in december, the battery has totally failed. i am having trouble getting the vendor to respond, but i am hoping to get the shaver replaced. i did buy an additional shaver head, but need the main part of the shaver replaced, as it has stopped working.",ec6db072b87333ce8482015c7783b8cf,calibration
For the price they are fine even though a few of them were not stuck to tray and are a bit messed up didnt expect amazing but did expect not to be messed up. Get what you pay for lol,0,3,0,1,for the price they are fine even though a few of them were not stuck to tray and are a bit messed up didnt expect amazing but did expect not to be messed up. get what you pay for lol,3687a14e8f3079896f05081267ea3dca,calibration
"Love this lip crayon! Don't be afraid of the red look in the photo.  It's pretty subtle.  I was disheartened when I saw the original source I bought the first one from was no longer in business.  Amazon to the rescue again!  I'm going to buy several more for my &#34;stash&#34; in case it disappears from the market, (as things that look good on me usually do....)",1,5,0,1,"love this lip crayon! don't be afraid of the red look in the photo. it's pretty subtle. i was disheartened when i saw the original source i bought the first one from was no longer in business. amazon to the rescue again! i'm going to buy several more for my &#34;stash&#34; in case it disappears from the market, (as things that look good on me usually do....)",636608829c4d8be932396e5ff3ca55ce,calibration
this is not what I received.,1,1,0,1,this is not what i received.,fc64c0a362b84f3cf8e93b810618f7f2,calibration
Only one bottle came!,1,1,0,1,only one bottle came!,7d7ad1ce0d7fa5bbfc185f3aa2803578,calibration
"These are not at all what is pictured. I thought I was getting spring themed nail files. I needed these for themed baskets I was making and now I can’t even use them because I got Halloween themed files. Black with skulls, orange and purple. So annoyed that I didn’t get what I paid for. I could have gotten nail files for cheaper but chose these based on the design.",0,1,3,1,"these are not at all what is pictured. i thought i was getting spring themed nail files. i needed these for themed baskets i was making and now i can’t even use them because i got halloween themed files. black with skulls, orange and purple. so annoyed that i didn’t get what i paid for. i could have gotten nail files for cheaper but chose these based on the design.",80c7600dc9418553c0b0718d17701b64,calibration
Nails.,1,5,0,1,nails.,35ec12b16b76ee1c050bbe4e81c542b8,calibration
Really good hold!,1,5,0,1,really good hold!,def06d24ddf17fc6d9cecdeec6e65ae8,calibration
This is the same antiseptic soap used in hospitals and doctors offices. It is good for clearing up blemishes on the skin. Keep the soap away from your eyes because it will irritate them.,0,4,0,1,this is the same antiseptic soap used in hospitals and doctors offices. it is good for clearing up blemishes on the skin. keep the soap away from your eyes because it will irritate them.,6c1e0f1c8cf66e97fa74b059d10c12b9,calibration
Color was not as expected but I. Did. Not return it... Just gave it away to someone else,0,3,0,1,color was not as expected but i. did. not return it... just gave it away to someone else,5f1d400d3a8669943eac80fd01011b46,calibration
"Not worth the price.<br />It's nice, but it doesn't cover more than a spot.",0,3,0,1,"not worth the price.<br />it's nice, but it doesn't cover more than a spot.",11dff68c3711a1976db69f1272a3234e,calibration
"Dude, I was skeptical but, the power of the gods works in these pens. I can do perfect eyeliner in literally 1 minute. My only complaint is that it’s not overtly marked which size it which, but I just put a big glob of different colors nail polish on the different sizes so I can grab whichever I want quickly so it’s not even worth hesitating over.",0,5,0,1,"dude, i was skeptical but, the power of the gods works in these pens. i can do perfect eyeliner in literally 1 minute. my only complaint is that it’s not overtly marked which size it which, but i just put a big glob of different colors nail polish on the different sizes so i can grab whichever i want quickly so it’s not even worth hesitating over.",b620d7491bc484ed623f66b2445a7a68,calibration
Very nice addition to a lipstick. Or great alone. Good shimmer and shine.,0,5,0,1,very nice addition to a lipstick. or great alone. good shimmer and shine.,0a0681bf98a503a0eb376eabf7a585cf,calibration
"they are soo cute!<br />I love wearing them to work,and the bees are big so they are easily seen though the thickest of hair and it's such a strong metal they don't bend too much,which makes them stay in place despite them not being ridged.",1,5,1,1,"they are soo cute!<br />i love wearing them to work,and the bees are big so they are easily seen though the thickest of hair and it's such a strong metal they don't bend too much,which makes them stay in place despite them not being ridged.",eb105ea134c7c8e93a6a199e2bcdadef,calibration
"I usually put regular lotion on my knees, elbows, hands and feet before applying tanning lotion for addition protection. This really helps and is easy to switch from hand to hand. I am careful around the wrist area to make sure there isn't any lines there.",1,5,1,0,"i usually put regular lotion on my knees, elbows, hands and feet before applying tanning lotion for addition protection. this really helps and is easy to switch from hand to hand. i am careful around the wrist area to make sure there isn't any lines there.",49a5fbf1c486235fd879ecf6267e9ad8,calibration
"Works great as a brush. As for detangling, I didn't notice it helping much with knots. It seems to pull on my hair more than anything.",1,2,0,0,"works great as a brush. as for detangling, i didn't notice it helping much with knots. it seems to pull on my hair more than anything.",75372b510b3cfdb616e0c2ecb25f79f0,calibration
"It's my favorite after shave and it's very difficult to find, so when I find it for a good price I buy it.",0,5,0,1,"it's my favorite after shave and it's very difficult to find, so when i find it for a good price i buy it.",1d5497a4279fa39d125dcaad9eb7bbae,calibration
"This is a great product, my son loves it.",0,5,0,1,"this is a great product, my son loves it.",18d972733399f733ba4c58101db953ae,calibration
This palatte is great! Ive used it and its not let me down,0,5,2,1,this palatte is great! ive used it and its not let me down,2a222205b33134fa85222ccccb274b7f,calibration
product is good except on/off button. It's very hard to operate. otherwise product is good.,0,4,0,1,product is good except on/off button. it's very hard to operate. otherwise product is good.,57e59d6a6eea45e9cf76a3c42b59f6c6,calibration
I love this wrap and wear it often!,0,5,0,1,i love this wrap and wear it often!,c52a2a74891e7b0f4340c28bdc3dc1fd,calibration
"Loved this eye liner. Super easy application and deep black shade. It gives the perfect shape without fail!<br /><br />I chose the smallest option, thinking I wouldn't want anything overly dramatic... but I find that I need to apply it out further than is recommended to get the look I'm going for. When I need a refill I will chose one of the bigger options. Overall: I love it!",0,5,0,1,"loved this eye liner. super easy application and deep black shade. it gives the perfect shape without fail!<br /><br />i chose the smallest option, thinking i wouldn't want anything overly dramatic... but i find that i need to apply it out further than is recommended to get the look i'm going for. when i need a refill i will chose one of the bigger options. overall: i love it!",1d334bf32edbc1bc4abbfcea35252f98,calibration
This brush works great for our long haired kitty.  Super easy to clean.,0,5,0,1,this brush works great for our long haired kitty. super easy to clean.,8877bb74c17cb37d421d02788e9f8447,calibration
Excelente,1,5,0,1,excelente,ac374ad2ec08d629639aad9e78d58b4e,calibration
No difference from many less expensive hand creams,0,1,0,1,no difference from many less expensive hand creams,343d9c93530504e5e85ed3e3b9022e99,calibration
I was quite skeptical buying hair on Amazon especially for 14/16/18 (w/color -- purple) at only $69.99. I went ahead and ordered it anyway and I love it. The color is accurate and the hair is really soft and 100% human.  It does not look like it will shed or tangle.  I definitely recommend and my aunt ordered the same in green.... Arriving tomorrow....,0,4,0,1,i was quite skeptical buying hair on amazon especially for 14/16/18 (w/color -- purple) at only $69.99. i went ahead and ordered it anyway and i love it. the color is accurate and the hair is really soft and 100% human. it does not look like it will shed or tangle. i definitely recommend and my aunt ordered the same in green.... arriving tomorrow....,7bcab06d9280986276a90bbdd894c358,calibration
"You will need base and top coat and a scooper/brush tool. They are not included. It took 3 coats of the black polish (included) to get full, dark coverage.  The pots are messy to open and quite small, but colors are pretty and sparkly.  Lots of glitter effect with multiple coats.  You will need a brush as well.  The finish feels bumpy (you can feel the glitter).  Maybe multiple top coat would help but I didn't want more layers since I already had base, 3 layers of color, 2 layers of glitter and a top coat.",1,3,0,0,"you will need base and top coat and a scooper/brush tool. they are not included. it took 3 coats of the black polish (included) to get full, dark coverage. the pots are messy to open and quite small, but colors are pretty and sparkly. lots of glitter effect with multiple coats. you will need a brush as well. the finish feels bumpy (you can feel the glitter). maybe multiple top coat would help but i didn't want more layers since i already had base, 3 layers of color, 2 layers of glitter and a top coat.",da2b3a936579aec5ec8b60ad842e992f,calibration
Like it very much.,1,5,0,1,like it very much.,33f9093991b11529fe76da8c30998058,calibration
The bag is about the size of a bag of chips,0,5,70,1,the bag is about the size of a bag of chips,bbc8af8b612dfed7aa8d8293e5278b37,calibration
Chain looks cheap but Cameo Beautiful,1,2,0,1,chain looks cheap but cameo beautiful,7cb53c801da46e2715d602a6cab6d321,calibration
"Purchased for a friend dealing w chemo. LOVES THESE!! Her only concern is the buttons need to be further back for regular masks, works best w masks with adjustable ear straps. Nonetheless, with adjustable ear straps these caps work beautifully!",0,5,0,1,"purchased for a friend dealing w chemo. loves these!! her only concern is the buttons need to be further back for regular masks, works best w masks with adjustable ear straps. nonetheless, with adjustable ear straps these caps work beautifully!",c39eb6d0e9b70d407ac25b2d989ad203,calibration
Beautiful!! I can not wait to see her wearing the bow,1,5,0,1,beautiful!! i can not wait to see her wearing the bow,70229c24a2e4ff8d8d427fcb47a4fc51,calibration
"Desilusiona , ☹️Me enviaron otro producto de 19$ dólares , y este producto cuesta 47 $ dólares , no me gusta ser estafada y creo que no le gusta a nadie 👹",0,1,1,1,"desilusiona , ☹️me enviaron otro producto de 19$ dólares , y este producto cuesta 47 $ dólares , no me gusta ser estafada y creo que no le gusta a nadie 👹",5c31908a916b981b3f21127d77cbb947,calibration
Great combo... something for different styles.,1,5,1,1,great combo... something for different styles.,235193382aac2c9de17f7ccc7198e6d4,calibration
